5 27 10 3000 143.718 0.0035151591 0.0002196974 7 0.0001098487 0.0003923169 0.0048490365 32.6677 40.8673 4.7508 28 0.0013966 6 0 0
5 23 10 5000 129.2322 0.0033038124 0.0002594617 4 0.0002940566 0.0004324362 0.0043070643 32.9194 42.3454 4.8434 22 0.0011935 5 0 0.00020757
4 30 10 200 69.9612 0.0011010906 0.0003355705 4 0.0002936242 0.0004614094 0.002925755 44.6475 75.3548 4.043 22 0.00074455 6 0 0.00018876
3 19 20 400 107.6016 0.0010335422 0.0002131015 1 5.32753697310659e-05 0.0005434088 0.0037825513 29.2203 53.7352 4.9155 19 0.0004262 7 0 0.00038358
3 32 10 500 122.8908 0.0011360136 0.0003273259 2 0 0.0013285582 0.0023682994 22.6885 62.0813 9.374 15 0.0011745 4 0 1.9254e-05
2 27 6 70 44.457 0.0009783903 0.0002552323 2 0 0 0.0024247065 76.4405 98.7719 3.0965 16 0.00037221 6 0 0
1 21 8 240 46.9962 0.0008201141 0.0001685166 6 0 4.4937761200737e-05 0.0019884959 94.0227 90.5311 4.1017 15 0.00057296 5 0 0
7 17 42 10000 212.6022 0.0090397391 0.0006762401 6 0.0011635308 0.0012530331 0.0049524643 24.6117 41.7671 6.6104 45 0.0022773 9 0.0001292812 0.00024862
4 20 14 2708 117.4884 0.0029442751 0.0005267713 2 1.88132595853558e-05 0.0004138917 0.0053994055 52.014 46.4321 3.3746 29 0.0010347 7 0.0002727923 0.00047033
4 18 24 800 155.9856 0.0050539084 0.000524109 8 2.49575721273834e-05 0.0003993212 0.0035689328 24.4632 52.1538 6.5664 27 0.0013103 6 0 0
3 16 16 6000 153.801 0.0016766146 0.0003185568 4 0 0.0008215411 0.0037723828 23.4107 48.0711 7.0044 24 0.0015928 7 0 1.6766e-05
4 26 4 190 79.2948 0.0003785385 0.000255102 3 1.64581961816985e-05 0.000164582 0.0035549704 39.6381 65.5 4.2269 19 0.00075708 7 0.0001069783 0.00026333
3 18 12 350 67.4754 0.0004225216 0.0001690086 1 2.41440919407021e-05 0.0001448646 0.002885219 42.437 68.0502 4.3222 16 0.00074847 7 0 0.00043459
3 38 6 1000 119.4366 0.0049520434 5.21267723102585e-05 2 8.68779538504309e-05 3.47511815401724e-05 0.0027279678 54.8718 79.2102 6.2293 21 0.0014943 5 0 0
5 16 30 5000 160.4754 0.0042538602 0.0004317351 2 0.0007745835 0.0004063389 0.0045713125 36.2897 46.8889 5.4361 28 0.0019809 7 0 0
5 17 16 1500 81.7722 0.0023334844 0.0004304486 4 0 0.0002492071 0.0028998641 45.1654 64.75 4.5312 15 0.001246 6 0 0.00022655
4 28 8 2000 50.8374 0.0006641086 0.0002213695 1 1.84474616292798e-05 0.0001475797 0.0026564345 45.7902 76.8889 3.5 13 0.00066411 6 0 0.00029516
5 20 10 120 160.6464 0.0034303443 0.0006336305 7 0 9.46804171764843e-05 0.0055351629 28.3636 37.7947 4.7671 29 0.0027676 10 8.73973081629086e-05 0.00010196
